observationTimeUtc,airTemperature,feelsLikeTemperature,windSpeed,windGust,windDirection,cloudCover,seaLevelPressure,relativeHumidity,precipitation,conditionCode
2020-10-01 00:00:00,11.7,11.7,2.0,3.9,71,0.0,1012.6,85,0.0,clear
2020-10-01 01:00:00,10.9,10.9,1.6,4.0,53,0.0,1012.5,87,0.0,clear
2020-10-01 02:00:00,10.6,10.6,2.0,4.4,75,38.0,1012.2,86,0.0,variable-cloudiness
2020-10-01 03:00:00,10.1,10.1,2.2,4.9,63,0.0,1012.1,86,0.0,clear
2020-10-01 04:00:00,9.3,9.3,1.8,3.9,50,0.0,1012.0,88,0.0,clear
2020-10-01 05:00:00,10.4,10.4,2.8,5.4,76,100.0,1011.7,81,0.0,cloudy
2020-10-01 06:00:00,10.8,10.8,2.6,4.6,57,88.0,1011.6,78,0.0,cloudy
2020-10-01 07:00:00,11.6,11.6,1.8,3.8,65,0.0,1011.4,76,0.0,clear
2020-10-01 08:00:00,12.6,12.6,3.0,5.6,76,13.0,1011.1,71,0.0,partly-cloudy
2020-10-01 09:00:00,14.0,14.0,4.1,7.5,86,25.0,1011.1,65,0.0,partly-cloudy
2020-10-01 10:00:00,15.3,15.3,3.2,5.9,77,25.0,1010.6,62,0.0,partly-cloudy
2020-10-01 11:00:00,16.7,16.7,4.3,8.0,81,13.0,1010.2,58,0.0,partly-cloudy
2020-10-01 12:00:00,17.4,17.4,4.9,8.8,93,0.0,1010.3,57,0.0,clear
2020-10-01 13:00:00,17.5,17.5,4.6,7.2,99,25.0,1010.6,58,0.0,partly-cloudy
2020-10-01 14:00:00,17.4,17.4,3.3,6.0,109,88.0,1011.0,59,0.0,cloudy
2020-10-01 15:00:00,17.0,17.0,3.2,4.9,96,88.0,1011.1,63,0.0,cloudy
2020-10-01 16:00:00,16.7,16.7,3.9,5.9,97,88.0,1011.6,64,0.0,cloudy
2020-10-01 17:00:00,15.6,15.6,3.5,5.9,89,13.0,1011.9,69,0.0,partly-cloudy
2020-10-01 18:00:00,15.2,15.2,4.0,7.1,98,0.0,1012.4,71,0.0,clear
2020-10-01 19:00:00,14.2,14.2,3.0,4.6,96,0.0,1012.8,74,0.0,clear
2020-10-01 20:00:00,13.3,13.3,1.6,3.8,71,0.0,1012.9,79,0.0,clear
2020-10-01 21:00:00,13.0,13.0,3.4,5.8,98,0.0,1013.1,80,0.0,mist
2020-10-01 22:00:00,12.9,12.9,3.8,5.8,98,0.0,1013.0,80,0.0,mist
2020-10-01 23:00:00,12.9,12.9,3.6,6.4,107,0.0,1013.0,78,0.0,mist
2020-10-02 00:00:00,12.5,12.5,3.2,5.8,103,0.0,1013.0,79,0.0,mist
2020-10-02 01:00:00,12.1,12.1,3.1,5.2,86,0.0,1012.7,80,0.0,mist
2020-10-02 02:00:00,11.4,11.4,3.2,5.1,88,0.0,1012.9,82,0.0,mist
2020-10-02 03:00:00,10.7,10.7,3.4,5.9,89,0.0,1012.7,84,0.0,clear
2020-10-02 04:00:00,10.3,10.3,4.4,7.4,99,0.0,1013.1,84,0.0,clear
2020-10-02 05:00:00,10.1,10.1,3.4,5.4,88,25.0,1013.2,85,0.0,partly-cloudy
2020-10-02 06:00:00,10.5,10.5,2.9,4.5,104,25.0,1013.3,84,0.0,partly-cloudy
2020-10-02 07:00:00,11.4,11.4,3.6,6.8,107,75.0,1013.4,81,0.0,cloudy-with-sunny-intervals
2020-10-02 08:00:00,12.2,12.2,4.3,7.5,108,88.0,1013.6,81,0.0,rain
2020-10-02 09:00:00,12.3,12.3,3.7,6.2,95,88.0,1013.7,85,0.0,rain
2020-10-02 10:00:00,13.9,13.9,4.2,6.8,116,88.0,1013.5,79,0.0,cloudy
2020-10-02 11:00:00,16.0,16.0,5.1,7.7,126,63.0,1013.2,72,0.0,cloudy-with-sunny-intervals
2020-10-02 12:00:00,16.0,16.0,3.5,6.8,115,88.0,1013.3,70,0.0,cloudy
2020-10-02 13:00:00,15.9,15.9,3.9,7.3,118,88.0,1013.4,70,0.0,cloudy
2020-10-02 14:00:00,15.8,15.8,5.5,8.4,132,88.0,1013.6,68,0.0,cloudy
2020-10-02 15:00:00,15.2,15.2,4.6,6.1,139,88.0,1014.0,71,0.0,cloudy
2020-10-02 16:00:00,14.3,14.3,3.0,5.8,118,75.0,1014.4,73,0.0,cloudy-with-sunny-intervals
2020-10-02 17:00:00,14.5,14.5,4.1,7.2,122,88.0,1014.7,73,0.0,cloudy
2020-10-02 18:00:00,13.9,13.9,3.4,6.2,106,38.0,1014.9,76,0.0,variable-cloudiness
2020-10-02 19:00:00,13.5,13.5,3.1,5.2,122,75.0,1015.5,79,0.0,mist
2020-10-02 20:00:00,13.4,13.4,3.0,5.2,119,63.0,1015.4,80,0.0,mist
2020-10-02 21:00:00,13.1,13.1,3.1,5.8,114,75.0,1015.3,81,0.0,mist
2020-10-02 22:00:00,13.1,13.1,3.4,6.2,114,63.0,1015.1,81,0.0,mist
2020-10-02 23:00:00,13.4,13.4,3.5,6.8,119,88.0,1014.8,81,0.0,mist
2020-10-03 00:00:00,13.3,13.3,3.5,6.6,126,88.0,1014.8,83,0.0,mist
2020-10-03 01:00:00,13.4,13.4,3.3,6.3,117,100.0,1014.6,84,0.0,cloudy
2020-10-03 02:00:00,13.3,13.3,3.1,5.5,114,100.0,1014.6,85,0.0,cloudy
2020-10-03 03:00:00,13.4,13.4,3.3,5.8,115,88.0,1014.5,86,0.0,cloudy
2020-10-03 04:00:00,13.3,13.3,3.5,7.1,108,88.0,1014.3,86,0.0,cloudy
2020-10-03 05:00:00,13.1,13.1,3.5,6.2,113,100.0,1014.1,87,0.0,cloudy
2020-10-03 06:00:00,13.0,13.0,4.3,7.9,122,100.0,1014.2,88,0.0,cloudy
2020-10-03 07:00:00,12.5,12.5,3.8,6.5,118,88.0,1014.1,93,1.6,rain
2020-10-03 08:00:00,13.0,13.0,5.2,10.0,125,100.0,1013.9,92,0.0,mist
2020-10-03 09:00:00,13.6,13.6,5.1,8.5,130,88.0,1013.8,89,0.0,mist
2020-10-03 10:00:00,13.9,13.9,5.5,9.4,126,88.0,1013.3,88,0.0,light-rain
2020-10-03 11:00:00,14.4,14.4,5.1,9.0,125,88.0,1013.1,86,0.0,light-rain
2020-10-03 12:00:00,14.5,14.5,5.3,8.6,127,88.0,1012.8,86,0.0,light-rain
2020-10-03 13:00:00,14.0,14.0,5.0,8.1,124,88.0,1012.4,89,0.0,light-rain
2020-10-03 14:00:00,14.3,14.3,4.3,8.6,119,88.0,1011.9,88,0.0,rain
2020-10-03 15:00:00,14.3,14.3,4.5,10.0,120,75.0,1011.7,87,0.0,cloudy-with-sunny-intervals
2020-10-03 16:00:00,14.3,14.3,5.2,8.6,126,88.0,1011.5,87,0.0,cloudy
2020-10-03 17:00:00,14.8,14.8,6.6,11.2,129,88.0,1011.3,86,0.0,cloudy
2020-10-03 18:00:00,14.9,14.9,6.6,9.9,135,88.0,1010.9,86,0.0,cloudy
2020-10-03 19:00:00,15.1,15.1,6.8,10.8,132,38.0,1010.4,85,0.0,variable-cloudiness
2020-10-03 20:00:00,15.2,15.2,6.7,10.1,135,38.0,1010.2,85,0.0,variable-cloudiness
2020-10-03 21:00:00,15.5,15.5,6.8,11.0,135,88.0,1009.4,84,0.0,cloudy
2020-10-03 22:00:00,15.7,15.7,7.0,11.2,137,88.0,1009.3,83,0.0,cloudy
2020-10-03 23:00:00,15.7,15.7,7.2,11.5,138,88.0,1009.1,83,0.0,cloudy
2020-10-04 00:00:00,15.6,15.6,7.3,10.5,136,88.0,1008.7,83,0.0,cloudy
2020-10-04 01:00:00,15.6,15.6,8.3,12.1,139,88.0,1008.2,84,0.0,cloudy
2020-10-04 02:00:00,15.4,15.4,6.6,9.7,137,75.0,1007.8,85,0.0,cloudy-with-sunny-intervals
2020-10-04 03:00:00,15.5,15.5,8.0,12.4,138,100.0,1007.4,85,0.0,cloudy
2020-10-04 04:00:00,15.5,15.5,8.1,11.4,140,88.0,1007.1,85,0.0,cloudy
