observationTimeUtc,airTemperature,feelsLikeTemperature,windSpeed,windGust,windDirection,cloudCover,seaLevelPressure,relativeHumidity,precipitation,conditionCode,code,name,coordinates
2016-07-01 00:00:00,16.7,16.7,1.3,2.7,39.0,25.0,1013.9,95.0,0.0,partly-cloudy,,,
2016-07-01 01:00:00,16.2,16.2,1.4,2.5,49.0,50.0,1014.0,95.0,0.0,variable-cloudiness,,,
2016-07-01 02:00:00,16.0,16.0,0.8,1.7,42.0,0.0,1013.8,96.0,0.0,clear,,,
2016-07-01 03:00:00,15.9,15.9,1.2,2.2,63.0,88.0,1014.1,96.0,0.0,cloudy,,,
2016-07-01 04:00:00,16.6,16.6,0.7,1.9,49.0,88.0,1014.2,96.0,0.0,cloudy,,,
2016-07-01 05:00:00,18.6,18.6,0.2,0.8,37.0,0.0,1014.2,92.0,0.0,clear,,,
2016-07-01 06:00:00,20.2,20.2,0.4,1.4,226.0,0.0,1014.3,82.0,0.0,clear,,,
2016-07-01 07:00:00,20.8,20.8,1.0,2.3,190.0,0.0,1014.7,81.0,0.0,clear,,,
2016-07-01 08:00:00,21.7,21.7,2.1,3.7,177.0,0.0,1015.2,80.0,0.0,clear,,,
2016-07-01 09:00:00,22.0,22.0,1.9,3.6,193.0,0.0,1015.5,81.0,0.0,clear,,,
2016-07-01 10:00:00,22.7,22.7,2.0,3.7,205.0,0.0,1015.8,78.0,0.0,clear,,,
2016-07-01 11:00:00,22.4,22.4,1.9,3.8,226.0,0.0,1016.1,73.0,0.0,clear,,,
2016-07-01 12:00:00,23.0,23.2,1.5,3.2,217.0,0.0,1016.1,70.0,0.0,clear,,,
2016-07-01 13:00:00,22.1,22.1,1.7,2.6,257.0,0.0,1016.1,73.0,0.0,clear,,,
2016-07-01 14:00:00,22.8,22.8,1.5,2.8,286.0,0.0,1015.9,70.0,0.0,clear,,,
2016-07-01 15:00:00,24.2,24.0,1.0,1.8,270.0,0.0,1015.7,49.0,0.0,clear,,,
2016-07-01 16:00:00,24.9,24.7,1.0,2.0,189.0,0.0,1015.8,49.0,0.0,clear,,,
2016-07-01 17:00:00,23.8,23.6,1.2,1.8,180.0,0.0,1015.8,53.0,0.0,clear,,,
2016-07-01 18:00:00,23.9,23.7,0.6,1.5,157.0,0.0,1015.9,53.0,0.0,clear,,,
2016-07-01 19:00:00,21.9,21.9,0.6,2.0,115.0,0.0,1016.0,59.0,0.0,clear,,,
2016-07-01 20:00:00,19.3,19.3,0.9,1.9,85.0,0.0,1016.2,71.0,0.0,clear,,,
2016-07-01 21:00:00,19.4,19.4,1.1,1.9,81.0,13.0,1016.2,72.0,0.0,partly-cloudy,,,
2016-07-01 22:00:00,19.1,19.1,1.4,2.8,77.0,0.0,1015.9,76.0,0.0,clear,,,
2016-07-01 23:00:00,19.7,19.7,1.5,2.8,82.0,0.0,1015.8,78.0,0.0,clear,,,
2016-07-02 00:00:00,19.5,19.5,1.7,3.2,81.0,0.0,1015.5,80.0,0.0,clear,,,
,,,,,,,,,,,,,
2016-07-04 08:00:00,,,,,,38.0,1015.4,,0.0,,,,
2016-07-04 09:00:00,18.0,18.0,3.6,7.1,265.0,50.0,1015.6,68.0,0.0,variable-cloudiness,,,
2016-07-04 10:00:00,18.8,18.8,3.7,8.8,275.0,63.0,1015.5,62.0,0.0,cloudy-with-sunny-intervals,,,
2016-07-04 11:00:00,17.8,17.8,3.9,7.2,274.0,75.0,1015.8,65.0,0.0,cloudy-with-sunny-intervals,,,
2016-07-04 12:00:00,15.5,15.5,5.9,12.1,259.0,88.0,1015.9,70.0,0.5,light-rain,,,
2016-07-04 13:00:00,17.0,17.0,5.1,9.5,263.0,88.0,1015.9,64.0,0.2,rain,,,
2016-07-04 14:00:00,15.6,15.6,5.1,11.1,236.0,88.0,1015.9,74.0,0.0,light-rain,,,
2016-07-04 15:00:00,17.3,17.3,5.7,9.9,262.0,25.0,1015.5,65.0,0.3,rain-showers,,,
2016-07-04 16:00:00,16.6,16.6,4.6,8.9,271.0,75.0,1015.7,63.0,0.0,cloudy-with-sunny-intervals,,,
2016-07-04 17:00:00,17.4,17.4,4.5,8.6,275.0,88.0,1015.4,60.0,0.0,cloudy,,,
2016-07-04 18:00:00,16.9,16.9,5.6,10.7,268.0,25.0,1015.2,62.0,0.0,partly-cloudy,,,
2016-07-04 19:00:00,16.3,16.3,5.4,10.3,270.0,38.0,1015.2,67.0,0.0,variable-cloudiness,,,
2016-07-04 20:00:00,16.4,16.4,5.2,9.8,269.0,50.0,1015.1,69.0,0.0,variable-cloudiness,,,
2016-07-04 21:00:00,16.3,16.3,5.2,9.1,270.0,25.0,1015.1,68.0,0.0,partly-cloudy,,,
2016-07-04 22:00:00,16.3,16.3,4.1,10.4,273.0,25.0,1014.9,71.0,0.0,partly-cloudy,,,
2016-07-04 23:00:00,16.3,16.3,4.9,8.8,270.0,25.0,1014.7,70.0,0.0,partly-cloudy,,,
2016-07-05 00:00:00,16.5,16.5,4.5,8.0,270.0,50.0,1014.7,69.0,0.0,variable-cloudiness,,,
2016-07-05 01:00:00,16.6,16.6,4.5,8.2,275.0,50.0,1014.3,69.0,0.0,variable-cloudiness,,,
2016-07-05 02:00:00,15.1,15.1,4.4,10.2,272.0,88.0,1014.1,80.0,0.9,light-rain,,,
2016-07-05 03:00:00,16.1,16.1,4.1,7.9,287.0,0.0,1014.0,74.0,0.0,clear,,,
2016-07-05 04:00:00,16.6,16.6,3.2,6.6,282.0,25.0,1014.0,72.0,0.0,partly-cloudy,,,
2016-07-05 05:00:00,17.2,17.2,3.6,7.3,278.0,0.0,1014.0,70.0,0.0,clear,,,
2016-07-05 06:00:00,17.2,17.2,3.4,7.4,276.0,50.0,1013.9,71.0,0.0,variable-cloudiness,,,
2016-07-05 07:00:00,17.4,17.4,3.5,6.7,271.0,88.0,1014.0,71.0,0.0,cloudy,,,
2016-07-05 08:00:00,18.0,18.0,3.5,7.9,273.0,13.0,1014.3,69.0,0.0,partly-cloudy,,,
2016-07-05 09:00:00,18.1,18.1,3.7,6.3,261.0,13.0,1014.3,66.0,0.0,partly-cloudy,,,
2016-07-05 10:00:00,18.9,18.9,3.7,6.4,250.0,63.0,1014.3,64.0,0.0,cloudy-with-sunny-intervals,,,
2016-07-05 11:00:00,18.6,18.6,3.0,5.8,247.0,75.0,1013.9,63.0,0.0,cloudy-with-sunny-intervals,,,
2016-07-05 12:00:00,19.2,19.2,2.8,5.7,211.0,63.0,1013.6,67.0,0.0,cloudy-with-sunny-intervals,,,
2016-07-05 13:00:00,19.6,19.6,3.6,6.8,224.0,38.0,1013.0,63.0,0.0,variable-cloudiness,,,
