observationTimeUtc,airTemperature,feelsLikeTemperature,windSpeed,windGust,windDirection,cloudCover,seaLevelPressure,relativeHumidity,precipitation,conditionCode
2019-09-01 00:00:00,15.8,15.8,1.7,3.0,110,0,1017.9,89,0.0,clear
2019-09-01 01:00:00,15.9,15.9,2.0,3.5,107,0,1017.3,86,0.0,clear
2019-09-01 02:00:00,15.5,15.5,1.6,2.6,112,0,1016.8,86,0.0,clear
2019-09-01 03:00:00,15.4,15.4,2.2,4.4,112,0,1016.5,87,0.0,clear
2019-09-01 04:00:00,15.3,15.3,2.3,4.0,110,0,1016.4,87,0.0,clear
2019-09-01 05:00:00,16.5,16.5,1.9,3.8,112,0,1015.9,82,0.0,clear
2019-09-01 06:00:00,18.8,18.8,2.3,5.6,121,0,1015.6,72,0.0,clear
2019-09-01 07:00:00,20.8,20.8,2.6,5.8,126,50,1015.3,66,0.0,variable-cloudiness
2019-09-01 08:00:00,23.2,23.1,2.8,5.8,140,0,1015.0,59,0.0,clear
2019-09-01 09:00:00,25.2,25.1,3.1,5.9,162,0,1014.4,52,0.0,clear
2019-09-01 10:00:00,27.0,27.2,3.2,6.7,155,0,1013.7,46,0.0,clear
2019-09-01 11:00:00,27.8,27.6,3.2,5.9,159,0,1013.3,42,0.0,clear
2019-09-01 12:00:00,27.9,27.5,3.1,6.8,151,0,1013.0,39,0.0,clear
2019-09-01 13:00:00,27.9,27.6,3.2,8.1,147,0,1012.6,41,0.0,clear
2019-09-01 14:00:00,28.5,28.0,2.8,6.4,160,0,1012.0,39,0.0,clear
2019-09-01 15:00:00,27.8,27.3,2.9,6.3,152,0,1011.4,37,0.0,clear
2019-09-01 16:00:00,27.0,26.9,3.1,6.2,151,0,1011.1,40,0.0,clear
2019-09-01 17:00:00,25.7,25.4,2.8,6.3,139,0,1010.6,41,0.0,clear
2019-09-01 18:00:00,23.8,23.5,2.4,4.9,130,0,1010.6,50,0.0,clear
2019-09-01 19:00:00,23.0,22.7,2.5,4.9,123,0,1010.5,51,0.0,clear
2019-09-01 20:00:00,22.5,22.5,2.6,5.3,120,0,1010.4,53,0.0,clear
2019-09-01 21:00:00,21.9,21.9,2.6,5.0,118,0,1010.3,56,0.0,clear
2019-09-01 22:00:00,21.6,21.6,2.8,4.9,116,13,1010.1,60,0.0,partly-cloudy
2019-09-01 23:00:00,21.8,21.8,3.0,7.2,138,88,1010.0,60,0.0,cloudy
2019-09-02 00:00:00,21.0,21.0,2.9,5.2,133,13,1009.5,64,0.0,partly-cloudy
2019-09-02 01:00:00,20.9,20.9,3.5,6.0,131,38,1009.3,64,0.0,variable-cloudiness
2019-09-02 02:00:00,18.9,18.9,1.0,1.7,106,100,1009.5,86,1.3,light-rain
2019-09-02 03:00:00,17.3,17.3,1.6,3.0,119,88,1009.5,94,0.0,thunderstorms
