observationTimeUtc,airTemperature,feelsLikeTemperature,windSpeed,windGust,windDirection,cloudCover,seaLevelPressure,relativeHumidity,precipitation,conditionCode
2017-03-01 00:00:00,2.9,2.9,0.4,2.1,178,88.0,999.6,90,0.0,mist
2017-03-01 01:00:00,2.1,2.1,0.3,1.7,148,88.0,999.8,93,0.0,mist
2017-03-01 02:00:00,0.6,0.6,0.4,1.7,115,88.0,999.6,93,0.0,mist
2017-03-01 03:00:00,0.5,-2.3,2.4,3.2,94,88.0,999.1,95,0.0,mist
2017-03-01 04:00:00,2.8,0.1,2.7,4.1,137,88.0,998.7,96,0.0,mist
2017-03-01 05:00:00,2.6,2.6,1.4,2.7,115,88.0,998.4,94,0.0,mist
2017-03-01 06:00:00,2.9,0.6,2.3,3.4,117,88.0,997.5,94,0.0,mist
2017-03-01 07:00:00,4.2,1.5,3.0,4.4,120,88.0,996.9,91,0.0,mist
2017-03-01 08:00:00,5.3,5.3,4.0,5.7,124,88.0,996.4,87,0.0,cloudy
2017-03-01 09:00:00,6.0,6.0,2.2,3.7,159,88.0,996.2,84,0.0,light-rain
2017-03-01 10:00:00,5.8,5.8,3.9,6.9,169,100.0,995.9,89,0.3,light-rain
2017-03-01 11:00:00,5.6,5.6,4.1,6.5,178,88.0,995.9,93,0.5,light-rain
2017-03-01 12:00:00,5.7,5.7,4.0,6.2,198,88.0,996.3,93,0.0,rain
2017-03-01 13:00:00,5.9,5.9,4.2,6.5,212,88.0,996.8,90,0.0,cloudy
2017-03-01 14:00:00,6.4,6.4,3.5,5.9,214,88.0,997.4,87,0.0,cloudy
2017-03-01 15:00:00,6.4,6.4,4.1,6.5,224,88.0,998.3,84,0.0,cloudy
2017-03-01 16:00:00,5.6,5.6,2.6,4.5,228,88.0,998.8,85,0.0,cloudy
2017-03-01 17:00:00,5.3,5.3,3.2,6.5,221,88.0,999.5,85,0.0,cloudy
2017-03-01 18:00:00,5.0,2.3,3.3,6.1,232,88.0,1000.4,84,0.0,cloudy
2017-03-01 19:00:00,4.3,0.9,4.2,6.3,230,88.0,1001.4,85,0.0,cloudy
2017-03-01 20:00:00,3.6,1.2,2.5,4.1,215,88.0,1001.8,87,0.0,cloudy
2017-03-01 21:00:00,2.9,0.3,2.6,4.8,206,88.0,1002.4,88,0.0,cloudy
2017-03-01 22:00:00,2.6,0.2,2.3,3.9,205,88.0,1002.6,90,0.0,cloudy
2017-03-01 23:00:00,2.0,-0.4,2.2,3.3,212,13.0,1003.1,90,0.0,partly-cloudy
2017-03-02 00:00:00,1.2,-1.6,2.5,4.2,185,0.0,1003.0,94,0.0,mist
2017-03-02 01:00:00,0.4,-2.4,2.4,3.5,182,88.0,1003.0,96,0.0,mist
2017-03-02 02:00:00,0.1,0.1,1.3,2.9,178,0.0,1002.8,96,0.0,mist
