observationTimeUtc,airTemperature,feelsLikeTemperature,windSpeed,windGust,windDirection,cloudCover,seaLevelPressure,relativeHumidity,precipitation,conditionCode
2015-06-01 00:00:00,7.9,7.9,2.1,2.8,122,0.0,1019.9,75,0.0,clear
2015-06-01 01:00:00,7.2,7.2,1.3,2.5,125,0.0,1019.9,78,0.0,clear
2015-06-01 02:00:00,6.5,6.5,0.5,2.1,147,0.0,1019.8,82,0.0,clear
2015-06-01 03:00:00,6.7,6.7,1.3,2.5,162,0.0,1020.1,81,0.0,clear
2015-06-01 04:00:00,8.6,8.6,1.7,3.5,152,0.0,1020.3,75,0.0,clear
2015-06-01 05:00:00,11.5,11.5,2.5,3.9,149,0.0,1020.2,68,0.0,clear
2015-06-01 06:00:00,14.4,14.4,3.2,6.2,174,0.0,1020.0,58,0.0,clear
2015-06-01 07:00:00,16.9,16.9,4.1,6.9,172,0.0,1019.7,50,0.0,clear
2015-06-01 08:00:00,18.2,18.2,4.4,7.2,165,0.0,1019.3,47,0.0,clear
2015-06-01 09:00:00,19.1,19.1,5.6,8.7,178,0.0,1019.1,42,0.0,clear
2015-06-01 10:00:00,20.0,20.0,5.9,10.3,173,0.0,1018.7,40,0.0,clear
2015-06-01 11:00:00,20.8,20.8,5.9,9.3,188,0.0,1018.4,39,0.0,clear
2015-06-01 12:00:00,21.5,21.5,5.5,9.7,186,0.0,1018.0,40,0.0,clear
2015-06-01 13:00:00,22.3,22.3,5.6,9.3,200,0.0,1017.6,39,0.0,clear
2015-06-01 14:00:00,22.4,22.4,5.6,8.4,169,0.0,1017.1,39,0.0,clear
2015-06-01 15:00:00,22.6,22.6,4.3,7.8,188,0.0,1016.9,39,0.0,clear
2015-06-01 16:00:00,22.4,22.4,4.8,8.4,185,0.0,1016.8,39,0.0,clear
2015-06-01 17:00:00,21.9,21.9,3.1,5.1,192,0.0,1016.5,40,0.0,clear
2015-06-01 18:00:00,20.4,20.4,2.5,3.9,169,0.0,1016.6,44,0.0,clear
2015-06-01 19:00:00,18.2,18.2,2.3,3.3,147,0.0,1016.7,50,0.0,clear
2015-06-01 20:00:00,16.6,16.6,2.4,3.6,159,0.0,1017.0,55,0.0,clear
2015-06-01 21:00:00,15.9,15.9,2.3,3.4,157,0.0,1017.3,57,0.0,clear
2015-06-01 22:00:00,14.8,14.8,1.7,2.8,145,0.0,1017.4,60,0.0,clear
2015-06-01 23:00:00,13.9,13.9,1.8,3.1,152,0.0,1017.0,64,0.0,clear
2015-06-02 00:00:00,13.1,13.1,1.0,2.7,141,0.0,1016.9,68,0.0,clear
2015-06-02 01:00:00,12.8,12.8,2.1,3.1,153,75.0,1017.0,71,0.0,cloudy-with-sunny-intervals
2015-06-02 02:00:00,12.9,12.9,2.7,3.5,151,88.0,1016.9,72,0.0,cloudy
2015-06-02 03:00:00,13.1,13.1,2.2,2.9,171,25.0,1016.8,73,0.0,partly-cloudy
2015-06-02 04:00:00,14.0,14.0,3.0,3.9,154,0.0,1016.4,72,0.0,clear
2015-06-02 05:00:00,16.2,16.2,1.8,2.7,181,88.0,1016.8,68,0.0,cloudy
2015-06-02 06:00:00,17.8,17.8,1.9,3.6,157,75.0,1016.7,67,0.0,cloudy-with-sunny-intervals
2015-06-02 07:00:00,20.2,20.2,2.2,4.0,165,13.0,1016.2,63,0.0,partly-cloudy
2015-06-02 08:00:00,22.1,22.1,3.3,5.2,181,88.0,1016.0,58,0.0,cloudy
2015-06-02 09:00:00,23.2,22.9,3.8,6.6,194,50.0,1015.5,52,0.0,variable-cloudiness
2015-06-02 10:00:00,25.3,25.1,5.3,9.1,202,0.0,1015.1,45,0.0,clear
2015-06-02 11:00:00,25.4,25.1,5.5,9.5,198,88.0,1014.8,43,0.0,cloudy
2015-06-02 12:00:00,23.5,23.3,5.3,10.1,186,75.0,1014.2,52,0.0,cloudy-with-sunny-intervals
2015-06-02 13:00:00,24.8,24.7,5.8,9.2,187,38.0,1014.0,53,0.0,variable-cloudiness
2015-06-02 14:00:00,25.6,25.5,3.6,6.8,163,0.0,1013.2,50,0.0,clear
2015-06-02 15:00:00,26.3,26.2,4.7,8.0,197,63.0,1012.8,45,0.0,cloudy-with-sunny-intervals
2015-06-02 16:00:00,27.1,26.8,4.9,10.3,230,63.0,1012.8,38,0.0,cloudy-with-sunny-intervals
